"Year","Major_Name","perc_Men","perc_Women","perc_American","perc_Total"
6,"VMS-Veterinary Clinical Medcne ",29.6,70.4,51.9,0.0656
6,"Voice ",19,81,95.2,0.051
7,"Accountancy ",53,46.3,83.6,2.74
7,"Actuarial Science ",70.8,29.2,79,0.687
7,"Advertising ",25.6,74.4,93,0.943
7,"Aerospace Engineering ",88,12,89,1.18
7,"African Studies ",36.4,63.6,81.8,0.0269
7,"Agr & Consumer Economics ",66.5,33.5,91.9,1.39
7,"Agr & Environmental Cmc & Educ ",23.3,76.7,98.9,0.22
7,"Agr Engineering & Agr Science ",86.4,13.6,100,0.108
7,"Agribusiness, Farm & Financial ",79,20,99,0.244
7,"Agricultural Education ",50,50,100,0.00977
7,"Agricultural Engineering ",84.8,15.2,66.3,0.225
7,"Animal Sciences ",29.3,70.5,93.6,1.56
7,"Anthropology ",33.6,66.4,94.1,0.538
7,"Applied Mathematics ",64,36,32,0.0611
7,"Architectural Studies ",54.8,45.2,95.1,1.34
7,"Architecture ",59.6,40.4,78.8,0.508
7,"Art and Design ",48.8,51.2,72.1,0.105
7,"Art Education ",13.9,86.1,90.7,0.264
7,"Art Foundation ",33.8,66.2,92.8,0.34
7,"Art History ",18.4,81.6,78.9,0.0929
7,"Asian Studies ",23.1,76.9,38.5,0.0318
7,"Astronomy ",62.9,37.1,64.3,0.171
7,"Atmospheric Sciences ",57.4,42.6,61.7,0.115
7,"Audiology ",0,100,100,0.0269
7,"Aviation Human Factors ",91.4,8.59,100,0.398
7,"Biochemistry ",55.4,44.6,82.3,0.635
7,"Bioengineering ",57.7,42.3,87.6,0.335
7,"Bioinformatics ",50,50,25,0.00977
7,"Biology ",42.8,56.8,94.2,2.22
7,"Biophysics & Computnl Biology ",71.6,28.4,23.9,0.164
7,"Broadcast Journalism ",33.3,66.7,100,0.183
7,"Business Administration ",49.9,49.9,83.1,1.24
7,"Business Administration (MBA) ",74.1,25.9,70.1,0.907
7,"Business Process Management ",50,50,100,0.00489
7,"Cell and Structural Biology ",46.2,53.8,44.6,0.159
7,"Chemical Engineering ",66.3,33.7,83.5,1.15
7,"Chemical Physics ",75,25,75,0.0293
7,"Chemistry ",59.4,40.6,87.4,1.81
7,"Civil Engineering ",78.8,21.1,78.8,2.03
7,"Classical Philology ",40,60,80,0.0122
7,"Classics ",51.4,48.6,94.6,0.0904
7,"Communications ",42.9,57.1,69.6,0.137
7,"Community Health ",23.1,76.9,99.1,1.3
7,"Comparative Literature ",23.2,76.8,64.3,0.137
7,"Computer Engineering ",91.5,8.06,89.2,1.06
7,"Computer Science ",87.2,12.6,66.3,2.34
7,"Consumer and Textile Marketing ",11.1,88.9,100,0.022
7,"Crafts ",22.7,77.3,100,0.0538
7,"Creative Writing ",50,50,95,0.0489
7,"Crop Sciences ",65.8,34.2,84.9,0.357
7,"Curric Unassigned ",57.5,42.5,93.1,2.46
7,"Dance ",12.8,87.2,93.6,0.191
7,"E Asian Languages & Cultures ",44.4,55.6,78.9,0.22
7,"Early Childhood Education ",0,98.4,100,0.149
7,"Earth Systems, Env, & Society ",100,0,100,0.00244
7,"Economics ",73.1,26.5,71.6,2.27
7,"Ed Organization and Leadership ",34.1,65.9,98.9,0.452
7,"Education General ",100,0,100,0.00244
7,"Educational Policy Studies ",34.6,65.4,86.2,0.318
7,"Educational Psychology ",26.3,73.7,61,0.288
7,"Electrical & Computer Engr ",86,14,49.1,1.27
7,"Electrical Engineering ",89.3,10.7,81,1.89
7,"Elementary Education ",7.36,92.6,90.2,0.897
7,"Engineering Mechanics ",75.5,24.5,95.9,0.12
7,"Engineering Physics ",90.3,9.7,97,0.327
7,"English ",31,68.8,97.9,2.53
7,"Entomology ",53.1,46.9,87.5,0.0782
7,"Environ Engr in Civil Engr ",52.4,47.6,38.1,0.154
7,"Environ Science in Civil Engr ",38.5,61.5,38.5,0.0318
7,"Finance ",69.3,30.6,78.5,1.92
7,"Food Science & Human Nutrition ",24.9,75.1,87.2,1.01
7,"French ",27.1,72.9,89.6,0.235
7,"General Curriculum ",45.6,54.4,95.9,8.58
7,"General Engineering ",80.2,19.7,95.5,1.45
7,"Geography ",64.6,35.4,86.5,0.235
7,"Geology ",63.7,36.3,82.4,0.222
7,"German ",33.3,66.7,85.7,0.0513
7,"Germanic Lang & Lit ",43.8,53.1,100,0.0782
7,"Graphic Design ",33.3,66.7,94.9,0.191
7,"History ",62.7,37,97,1.74
7,"History of Art ",11.9,88.1,90.5,0.103
7,"Horticulture ",61.3,38.7,98.4,0.152
7,"Human & Community Development ",18.5,81.5,81.5,0.066
7,"Human Development & Family St ",7.29,92.7,99,0.469
7,"Human Factors ",80,20,50,0.0244
7,"Human Res & Industrial Rels ",31.1,68.9,78,0.433
7,"Human Resource Education ",42.7,57.3,58.5,0.2
7,"Humanities ",100,0,100,0.00733
7,"Individual Plans of Study ",33.3,66.7,100,0.0147
7,"Industrial Design ",54.9,45.1,91.2,0.249
7,"Industrial Engineering ",67.8,32.2,66.7,0.213
7,"Instrumental Music ",46.6,53.4,95.8,0.288
7,"Integrative Biology ",47.3,52.7,99.3,0.714
7,"Interdisciplinary ",44.9,55.1,98,0.12
7,"International Studies ",29.3,70.7,95.1,0.902
7,"Intl, Resource, Consumer Econ ",54.5,45.5,100,0.134
7,"Italian ",45.5,54.5,81.8,0.0269
7,"Jazz Performance ",95.2,4.76,100,0.0513
7,"Journalism ",53.8,46.2,92.3,0.0635
7,"Kinesiology ",39.2,60.6,96.9,1.6
7,"Landscape Architecture ",60.5,39.5,91.8,0.359
7,"Latin American Studies ",42.9,57.1,100,0.0342
7,"Law ",58.3,41.7,88.5,1.55
7,"Leisure Studies ",64.7,35.3,82.4,0.0415
7,"Library & Information Science ",23.6,76.4,88,0.611
7,"Linguistics ",38.1,61.9,76.3,0.34
7,"Management ",0,100,100,0.00244
7,"Marketing ",33.3,66.7,66.7,0.00733
7,"Materials Science & Engr ",76.6,23.4,75.4,0.973
7,"Math & Computer Science ",93.4,6.6,90.6,0.259
7,"Mathematics ",59,41,81.3,1.35
7,"Mechanical Engineering ",87.6,12.2,83.1,2.66
7,"Media Studies ",32.6,67.4,95.8,0.232
7,"Microbiology ",45.1,54.9,62,0.173
7,"Molecular & Integrative Physi ",45.9,54.1,54.1,0.0904
7,"Molecular and Cellular Biology ",49.6,50.3,96.6,2.24
7,"Molecular&Cell Bio-undeclared ",45.8,54.2,41.7,0.0586
7,"Music ",49,51,63.8,0.823
7,"Music Composition ",87.5,12.5,87.5,0.0195
7,"Music Education ",49.6,50.4,99.2,0.611
7,"Music History ",50,50,100,0.00489
7,"Musicology ",50,50,65,0.0489
7,"Natural Res & Env Sciences ",51.6,48.4,80.2,0.222
7,"Natural Resrcs & Environ Sci ",48.2,51.3,100,0.481
7,"Neuroscience ",40.4,59.6,75,0.127
7,"News-Editorial ",32.2,67.8,100,0.349
7,"Nondegree-CE ",34.9,65.1,100,0.203
7,"Nuclear Engineering ",80.7,19.3,78.9,0.418
7,"Nutritional Sciences ",26.7,73.3,85,0.147
7,"Open Studies ",55.6,44.4,88.9,0.022
7,"Painting ",31.7,68.3,97.6,0.1
7,"Philosophy ",78.2,21.8,96.8,0.303
7,"Photography ",42.9,57.1,100,0.0855
7,"Physics ",85.6,14.2,64.6,1.1
7,"Plant Biology ",52,48,84,0.0611
7,"Political Science ",57.6,42.2,96.5,2.76
7,"Portuguese ",33.3,66.7,33.3,0.0147
7,"Pre-Early Chld/Elem Ed/Spec Ed ",8.09,91.9,99.3,0.665
7,"Professional Pilot ",89.2,10.8,98.5,0.159
7,"Psychology ",30.3,69.6,93.3,3.71
7,"Recreation, Sport, and Tourism ",60.7,39.1,93.8,1.02
7,"Regional Planning ",50,50,50,0.0489
7,"Rehabilitation ",0,100,100,0.0147
7,"Religious Studies ",56,44,100,0.0611
7,"Rhetoric ",45.4,54.6,100,0.264
7,"Russian & E European Studies ",66.7,33.3,100,0.0147
7,"Russian Lang & Literature ",25,75,100,0.00977
7,"Russian, E Eur, Eurasian St ",85.7,14.3,100,0.0171
7,"Sculpture ",33.3,66.7,100,0.0293
7,"Secondary & Continuing Educ ",36.7,63.3,65,0.293
7,"Slavic Languages & Literature ",40,60,50,0.0244
7,"Social Work ",10.2,89.8,94.1,0.623
7,"Sociology ",40.4,59.4,94.4,1.31
7,"Spanish ",26.1,73.9,90.4,0.863
7,"Special Education ",14.7,85.3,92.3,0.349
7,"Speech & Hearing Science ",4.39,95.6,96.5,0.836
7,"Speech Communication ",43.6,56.2,98.5,1.78
7,"Statistics ",59.3,40.7,62.7,0.288
7,"Statistics & Computer Science ",75,25,100,0.0195
7,"Systems & Entrepreneurial Engr ",90.9,9.09,24.2,0.0806
7,"Teaching of Chemistry ",0,100,100,0.00977
7,"Teaching of English Sec Lang ",17,83,47.2,0.13
7,"Teaching of French ",0,100,100,0.00733
7,"Teaching of German ",25,75,100,0.00977
7,"Teaching of Latin ",0,100,100,0.00244
7,"Teaching of Mathematics ",50,50,100,0.00489
7,"Teaching of Spanish ",6.45,93.5,100,0.0758
7,"Technical Systems Management ",95.8,3.12,99,0.235
7,"Theatre ",44.5,55.5,96.7,0.445
7,"Theoretical & Applied Mechans ",84.3,15.7,41.2,0.125
7,"Undeclared ",60.2,39.8,98.8,0.203
7,"Urban Planning ",56.1,43.9,90.9,0.401
7,"Veterinary Medical Science ",50,50,100,0.00489
7,"Veterinary Medicine ",20.3,79.7,99.1,1.05
7,"VMS - Veterinary Biosciences ",41.2,58.8,52.9,0.0415
7,"VMS - Veterinary Pathobiology ",31.6,68.4,73.7,0.0464
7,"VMS-Veterinary Clinical Medcne ",38.7,61.3,54.8,0.0758
7,"Voice ",20,80,96,0.0611
8,"Accountancy ",53.8,45.9,80.2,2.76
8,"Actuarial Science ",64.3,35.7,74.1,0.709
8,"Advertising ",29.1,70.9,93.9,1.11
8,"Aerospace Engineering ",88.1,11.7,86,1.24
8,"African American Studies ",100,0,100,0.00241
8,"African Studies ",18.2,81.8,90.9,0.0265
8,"Agr & Consumer Economics ",66.2,33.6,90.6,1.68
8,"Agr & Environmental Cmc & Educ ",20.5,79.5,98.6,0.176
8,"Agr Engineering & Agr Science ",87,13,100,0.13
8,"Agribusiness, Farm & Financial ",83.9,16.1,100,0.0747
8,"Agricultural & Biological Engr ",50,50,28.6,0.0337
8,"Agricultural Education ",100,0,100,0.00241
8,"Agricultural Engineering ",84.4,15.6,70,0.217
8,"Animal Sciences ",26.9,73,92.5,1.55
8,"Anthropology ",33.3,66.7,93.4,0.586
8,"Applied Mathematics ",50,50,28.6,0.0675
8,"Architectural Studies ",55.8,44.2,93.1,1.4
8,"Architecture ",62.6,37.4,78.8,0.477
8,"Art and Design ",40.5,59.5,66.7,0.101
8,"Art Education ",17.1,82.9,94.3,0.253
8,"Art Foundation ",28.1,71.9,87,0.352
8,"Art History ",19.4,80.6,83.3,0.0868
8,"Asian Studies ",26.7,73.3,46.7,0.0361
8,"Astronomy ",69.3,30.7,72,0.181
8,"Atmospheric Sciences ",60.5,38.4,79.1,0.207
8,"Audiology ",15.8,84.2,100,0.0458
8,"Aviation Human Factors ",90.7,9.29,100,0.337
8,"Biochemistry ",59.8,40.2,78.4,0.492
8,"Bioengineering ",58.4,41.6,87.3,0.417
8,"Bioinformatics ",42.9,57.1,57.1,0.0169
8,"Biology ",44.4,55.6,95.3,2.11
8,"Biophysics & Computnl Biology ",74.7,25.3,33.3,0.181
8,"Broadcast Journalism ",27.5,72.5,100,0.333
8,"Business Administration ",47.2,52.8,85.4,0.612
8,"Business Administration (MBA) ",72.7,26.5,73.5,0.856
8,"Business Process Management ",50,50,83.3,0.0145
8,"Cell and Developmental Biology ",41.3,58.7,50,0.111
8,"Cell and Structural Biology ",75,25,25,0.00964
8,"Chemical Engineering ",66.2,33.8,81.6,1.26
8,"Chemical Physics ",76.9,23.1,69.2,0.0313
8,"Chemistry ",60.4,39.6,86.9,1.74
8,"Civil Engineering ",77,22.9,77.3,2.3
8,"Classical Philology ",60,40,100,0.012
8,"Classics ",37.8,62.2,94.6,0.0892
8,"Communications ",46.9,53.1,65.3,0.118
8,"Community Health ",21.4,78.6,99.2,1.47
8,"Comparative Literature ",29.5,70.5,68.2,0.106
8,"Computer Engineering ",89.2,10.3,83.4,1.07
8,"Computer Science ",87.6,12.3,63.8,2.36
8,"Crafts ",25,75,100,0.0482
8,"Creative Writing ",45,55,95,0.0482
8,"Crop Sciences ",64.8,35.2,82.4,0.342
8,"Curric Unassigned ",57.2,42.8,92.3,2.74
8,"Curriculum and Instruction ",13.9,86.1,83.3,0.0868
8,"Dance ",14.6,85.4,96.3,0.198
8,"E Asian Languages & Cultures ",40.6,59.4,78.1,0.231
8,"Early Childhood Education ",1.79,96.4,98.2,0.135
8,"Earth Systems, Env, & Society ",56.9,43.1,96.9,0.157
8,"Ecol, Evol, Conservation Biol ",63.2,36.8,94.7,0.0458
8,"Economics ",73.3,26.3,68.4,2.01
8,"Ed Organization and Leadership ",35.8,64.2,98.8,0.39
8,"Educational Policy Studies ",39.1,60.9,84.1,0.333
8,"Educational Psychology ",29.5,70.5,61,0.253
8,"Electrical & Computer Engr ",88.1,11.9,48,1.21
8,"Electrical Engineering ",89.2,10.7,74.1,1.94
8,"Elementary Education ",7.56,92.4,91.3,0.829
8,"Engineering Mechanics ",81.3,17.3,89.3,0.181
8,"Engineering Physics ",90.1,9.92,95.4,0.316
8,"English ",30.8,69.1,98.6,2.25
8,"Entomology ",45.5,54.5,78.8,0.0795
8,"Environ Engr in Civil Engr ",45.3,54.7,44,0.181
8,"Environ Science in Civil Engr ",30,70,40,0.0241
8,"Finance ",68.4,31.4,80.2,1.76
8,"Food Science & Human Nutrition ",23.4,76.6,85.1,0.957
8,"French ",27.1,72.9,87.5,0.231
8,"General Curriculum ",48,52,95.4,3.45
8,"General Engineering ",75.8,24.2,93.9,1.31
8,"Geography ",67.8,31,82.8,0.21
8,"Geology ",60.2,39.8,83,0.212
8,"German ",28.6,71.4,76.2,0.0506
8,"Germanic Lang & Lit ",44.1,55.9,100,0.0819
8,"Graphic Design ",31,69,93,0.171
8,"History ",64.4,35.4,96.7,1.59
8,"History of Art ",10.5,89.5,93,0.137
8,"Horticulture ",63.2,36.8,100,0.137
8,"Human & Community Development ",14.3,85.7,78.6,0.0675
8,"Human Development & Family St ",4.27,95.7,99.1,0.508
8,"Human Factors ",50,50,33.3,0.0289
8,"Human Res & Industrial Rels ",30.9,69.1,79.8,0.453
8,"Human Resource Education ",39.2,60.8,62,0.19
8,"Individual Plans of Study ",57.1,42.9,100,0.0169
8,"Industrial Design ",53.3,46.7,87.9,0.258
8,"Industrial Engineering ",68.8,31.2,57.6,0.301
8,"Information Sys & Info Tech ",76,24,96,0.0602
8,"Instrumental Music ",46.1,53.9,94.1,0.246
8,"Integrative Biology ",47.5,52.5,98.1,0.776
8,"Interdisciplinary ",47.7,52.3,98.5,0.157
8,"International Studies ",27.6,72.1,91.5,0.969
8,"Intl, Resource, Consumer Econ ",65,35,100,0.0482
8,"Italian ",35.7,64.3,71.4,0.0337
8,"Jazz Performance ",92.1,7.89,100,0.0916
8,"Journalism ",46.2,53.8,84.6,0.0627
8,"Kinesiology ",41.8,58,96.7,1.62
8,"Landscape Architecture ",56.1,43.9,87.1,0.374
8,"Latin American Studies ",33.3,66.7,100,0.0361
8,"Law ",56.1,43.9,89.7,1.5
8,"Leisure Studies ",66.7,33.3,83.3,0.0145
8,"Library & Information Science ",27.3,72.7,87.8,0.689
8,"Linguistics ",38.7,61.3,77.4,0.299
8,"Management ",48.8,51.2,91.7,0.202
8,"Marketing ",38.2,61.8,98,0.246
8,"Materials Science & Engr ",77.2,22.8,73.8,1.06
8,"Math & Computer Science ",91.3,8.7,91.3,0.222
8,"Mathematics ",62.9,36.9,80.6,1.34
8,"Mechanical Engineering ",88.1,11.7,80.8,2.65
8,"Media Studies ",30.4,69.6,94.1,0.246
8,"Microbiology ",44.4,55.6,63.9,0.174
8,"Molecular & Integrative Physi ",41.9,58.1,54.8,0.0747
8,"Molecular and Cellular Biology ",49.5,50.3,95.8,2.43
8,"Molecular&Cell Bio-undeclared ",51.6,48.4,54.8,0.0747
8,"Music ",46.6,53.4,64.9,0.839
8,"Music Composition ",66.7,33.3,88.9,0.0217
8,"Music Education ",49.4,50.6,98.9,0.643
8,"Music History ",50,50,100,0.00482
8,"Musicology ",42.1,57.9,73.7,0.0458
8,"Natural Res & Env Sciences ",54.9,45.1,78,0.219
8,"Natural Resrcs & Environ Sci ",49.2,50.3,100,0.427
8,"Neuroscience ",38.9,61.1,77.8,0.13
8,"New Media ",53.3,46.7,86.7,0.0361
8,"News-Editorial ",29.2,70.8,99.5,0.528
8,"Nondegree-CE ",33.3,66.7,100,0.174
8,"Nuclear Engineering ",87.4,12.6,77,0.419
8,"Nutritional Sciences ",23,77,80.3,0.147
8,"Open Studies ",66.7,33.3,91.7,0.0289
8,"Painting ",31.4,68.6,100,0.0843
8,"Philosophy ",81.7,18.3,96.8,0.304
8,"Photography ",44.8,55.2,96.6,0.0699
8,"Physics ",86.4,13.4,61.9,1.08
8,"Plant Biology ",40,60,93.3,0.0723
8,"Political Science ",60.1,39.9,96.5,2.56
8,"Portuguese ",50,50,50,0.00482
8,"Pre-Early Chld/Elem Ed/Spec Ed ",8.33,91.7,99,0.694
8,"Professional Pilot ",91.1,8.93,100,0.135
8,"Psychology ",28.3,71.7,93.2,3.46
8,"Recreation, Sport, and Tourism ",64.3,35.5,94.1,1.02
8,"Regional Planning ",63.2,36.8,42.1,0.0458
8,"Rehabilitation ",0,100,100,0.012
8,"Religious Studies ",52.2,47.8,100,0.0554
8,"Rhetoric ",50.4,49.6,99.2,0.287
8,"Russian & E European Studies ",50,50,100,0.00964
8,"Russian Lang & Literature ",50,50,100,0.00964
8,"Russian, E Eur, Eurasian St ",81.8,18.2,100,0.0265
8,"Sculpture ",20,80,100,0.0241
8,"Secondary & Continuing Educ ",40.7,59.3,66.3,0.207
8,"Secondary Education ",33.3,66.7,100,0.00723
8,"Slavic Languages & Literature ",25,75,62.5,0.0193
8,"Social Work ",11.8,88.2,93.5,0.634
8,"Sociology ",40.9,58.8,94,1.24
8,"Spanish ",26.2,73.8,90.9,0.718
8,"Special Education ",15,84.2,94.7,0.321
8,"Speech & Hearing Science ",5.73,94.3,97.1,0.841
8,"Speech Communication ",41.9,58.1,98.8,1.84
8,"Statistics ",57.9,42.1,62.4,0.321
8,"Statistics & Computer Science ",78.6,21.4,78.6,0.0337
8,"Supply Chain Management ",66.7,33.3,100,0.0578
8,"Systems & Entrepreneurial Engr ",84.8,15.2,39.4,0.0795
8,"Teaching of Chemistry ",0,100,50,0.00482
8,"Teaching of Earth Science ",0,100,100,0.00241
8,"Teaching of English Sec Lang ",25,75,40.4,0.125
8,"Teaching of French ",20,80,100,0.012
8,"Teaching of German ",50,50,100,0.00482
8,"Teaching of Spanish ",5.56,94.4,100,0.0868
8,"Technical Systems Management ",93.3,6.67,100,0.253
8,"Technology Management ",63.3,36.7,0,0.118
8,"Theatre ",43.1,56.9,96.8,0.453
8,"Theoretical & Applied Mechans ",87.2,12.8,42.6,0.113
8,"Undeclared ",52.1,47.8,90.4,4.86
8,"Urban Planning ",58,42,90.7,0.361
8,"Veterinary Medicine ",20.4,79.6,99.6,1.09
8,"VMS - Veterinary Biosciences ",42.1,57.9,42.1,0.0458
8,"VMS - Veterinary Pathobiology ",42.9,57.1,78.6,0.0337
8,"VMS-Veterinary Clinical Medcne ",39.4,60.6,60.6,0.0795
8,"Voice ",20,80,97.1,0.0843
9,"Accountancy ",54.8,45.2,76.5,2.84
9,"Actuarial Science ",60.8,39.2,69.2,0.682
9,"Advertising ",33,66.7,93.4,1.05
9,"Aerospace Engineering ",87.4,12.6,84,1.21
9,"African American Studies ",14.3,85.7,100,0.0167
9,"African Studies ",37.5,62.5,87.5,0.0191
9,"Agr & Consumer Economics ",65.8,34.2,87,1.54
9,"Agr & Environmental Cmc & Educ ",22,78,98.8,0.196
9,"Agr Engineering & Agr Science ",87,13,98.6,0.165
9,"Agribusiness, Farm & Financial ",75,25,100,0.00954
9,"Agricultural & Biological Engr ",62.7,37.3,66.1,0.141
9,"Agricultural Education ",0,100,100,0.00477
9,"Agricultural Engineering ",85.9,14.1,73.4,0.153
9,"Agricultural Production ",40,60,100,0.0119
9,"Animal Sciences ",27.1,72.7,92.7,1.48
9,"Anthropology ",30.9,69.1,91.7,0.518
9,"Applied Mathematics ",39.1,60.9,13,0.0549
9,"Architectural Studies ",57.6,42.4,93.1,1.32
9,"Architecture ",59.3,40.7,82.5,0.463
9,"Art and Design ",40,60,66.7,0.107
9,"Art Education ",21.3,78.7,95.5,0.212
9,"Art Foundation ",33.6,66.4,94.3,0.334
9,"Art History ",25.8,74.2,80.6,0.074
9,"Asian Studies ",20,80,40,0.0239
9,"Astronomy ",69.9,30.1,69.9,0.174
9,"Athletic Training ",34.5,65.5,100,0.0692
9,"Atmospheric Sciences ",56,44,85.3,0.277
9,"Audiology ",26.3,73.7,100,0.0453
9,"Aviation Human Factors ",92.2,7.81,99.2,0.305
9,"Biochemistry ",53.5,46.5,78.2,0.482
9,"Bioenergy ",100,0,66.7,0.0143
9,"Bioengineering ",59.2,40.8,87.2,0.427
9,"Bioinformatics ",50,50,40,0.0239
9,"Biology ",46.7,53.1,94.6,1.93
9,"Biophysics & Computnl Biology ",78.6,21.4,37.1,0.167
9,"Broadcast Journalism ",27.3,72.7,99.4,0.367
9,"Business Administration ",54.5,45.5,63.6,0.262
9,"Business Administration (MBA) ",68.1,31,72.8,0.823
9,"Business Process Management ",55.6,44.4,94.4,0.0429
9,"Cell and Developmental Biology ",45.5,54.5,43.2,0.105
9,"Cell and Structural Biology ",100,0,33.3,0.00716
9,"Chemical Engineering ",65.9,34,78.4,1.37
9,"Chemical Physics ",81.8,18.2,72.7,0.0262
9,"Chemistry ",61.6,38.2,85.7,1.77
9,"Civil Engineering ",74.9,25,78.5,2.6
9,"Classical Philology ",55.6,44.4,88.9,0.0215
9,"Classics ",50,50,100,0.0859
9,"Communication ",40.4,59.6,97,1.21
9,"Communications ",46,54,56,0.119
9,"Community Health ",20.9,78.9,98.6,1.4
9,"Comparative Literature ",36.4,61.4,70.5,0.105
9,"Computer Engineering ",90.2,9.59,79.1,1.12
9,"Computer Science ",88.3,11.7,61.4,2.47
9,"Crafts ",21.4,78.6,92.9,0.0334
9,"Creative Writing ",52.6,47.4,100,0.0453
9,"Crop Sciences ",70.6,29.4,82.8,0.389
9,"Curric Unassigned ",55.3,44.7,92.5,2.48
9,"Curriculum and Instruction ",15.7,84.3,82.9,0.167
9,"Dance ",12.2,87.8,97.6,0.196
9,"E Asian Languages & Cultures ",37.3,62.7,78.4,0.243
9,"Early Childhood Education ",2.38,97.6,97.6,0.1
9,"Earth Systems, Env, & Society ",53.1,46.9,97.7,0.305
9,"Ecol, Evol, Conservation Biol ",40.9,59.1,95.5,0.0525
9,"Economics ",72.5,27.4,59.5,2.01
9,"Ed Organization and Leadership ",38.1,61.3,98.1,0.37
9,"Educational Policy Studies ",35.6,64.4,87.9,0.355
9,"Educational Psychology ",29.6,70.4,65.3,0.234
9,"Electrical & Computer Engr ",86.9,13.1,44.8,1.22
9,"Electrical Engineering ",88.6,11.3,67.9,2.25
9,"Elementary Education ",6.43,93.6,94.2,0.742
9,"Engineering Mechanics ",84,16,84,0.253
9,"Engineering Physics ",89.9,10.1,92.1,0.332
9,"English ",32.3,67.6,98.6,2.14
9,"Entomology ",47.1,52.9,67.6,0.0811
9,"Environ Engr in Civil Engr ",50,50,53.8,0.191
9,"Environ Science in Civil Engr ",27.3,72.7,72.7,0.0262
9,"Finance ",68.7,31.3,74.6,1.67
9,"Food Science & Human Nutrition ",21.9,78.1,82.2,1.06
9,"French ",26.7,73.3,80.2,0.205
9,"Gender and Women's Studies ",11.1,88.9,100,0.0215
9,"General Curriculum ",39.7,60.3,97.4,0.637
9,"General Engineering ",76.9,22.9,93,1.08
9,"Geography ",63.8,34.8,82.6,0.165
9,"Geology ",59.8,40.2,85.4,0.196
9,"German ",45.5,54.5,63.6,0.0525
9,"Germanic Lang & Lit ",37.9,58.6,100,0.0692
9,"Global Studies ",26.9,73.1,90.3,0.222
9,"Graphic Design ",35.9,64.1,93.8,0.153
9,"Health ",15.8,84.2,94.7,0.0453
9,"History ",62.1,37.7,96.5,1.49
9,"History of Art ",8.16,91.8,89.8,0.117
9,"Horticulture ",66.7,33.3,100,0.122
9,"Human & Community Development ",16.7,83.3,90,0.0716
9,"Human Development & Family St ",6.73,92.3,97.6,0.496
9,"Human Factors ",27.3,72.7,45.5,0.0262
9,"Human Res & Industrial Rels ",30.4,69.6,71.2,0.456
9,"Human Resource Education ",50,50,55.1,0.186
9,"Individual Plans of Study ",66.7,33.3,100,0.0215
9,"Industrial Design ",47.9,52.1,85.5,0.279
9,"Industrial Engineering ",70.4,29.6,51.6,0.379
9,"Information Sys & Info Tech ",81.1,18.9,94.6,0.0883
9,"Instrumental Music ",45.7,54.3,96.8,0.224
9,"Integrative Biology ",44.1,55.9,97.3,0.785
9,"Interdisciplinary ",42.2,57.8,95.6,0.107
9,"International Studies ",28.8,70.9,90.5,0.754
9,"Intl, Resource, Consumer Econ ",100,0,100,0.00477
9,"Italian ",42.9,57.1,78.6,0.0334
9,"Jazz Performance ",87.8,12.2,100,0.0978
9,"Journalism ",32,68,84,0.0596
9,"Kinesiology ",42.8,57,95.9,1.56
9,"Landscape Architecture ",54.7,45.3,80.6,0.332
9,"Latin American Studies ",52.9,47.1,88.2,0.0406
9,"Law ",55.2,44.8,83.6,1.69
9,"Leisure Studies ",66.7,33.3,66.7,0.00716
9,"Library & Information Science ",28.3,71.7,90.9,0.709
9,"Linguistics ",37.6,62.4,69.7,0.26
9,"Management ",41.5,57.9,90.2,0.391
9,"Marketing ",38.4,61.6,95.4,0.36
9,"Materials Science & Engr ",74.3,25.7,71.5,1.1
9,"Math & Computer Science ",86.1,13.9,84.8,0.188
9,"Mathematics ",61.7,38.3,73.5,1.35
9,"Mechanical Engineering ",89,10.8,78.2,2.51
9,"Media and Cinema Studies ",100,0,100,0.00239
9,"Media Studies ",28.2,71.8,90.9,0.262
9,"Microbiology ",41.2,58.8,66.2,0.162
9,"Molecular & Integrative Physi ",41.9,58.1,51.6,0.074
9,"Molecular and Cellular Biology ",50.3,49.4,97,2.48
9,"Molecular&Cell Bio-undeclared ",49.2,50.8,68.9,0.146
9,"Music ",48.7,51.3,63.8,0.823
9,"Music Composition ",81.8,18.2,100,0.0262
9,"Music Education ",48.6,51.4,99.2,0.58
9,"Music History ",42.9,57.1,85.7,0.0167
9,"Musicology ",50,50,72.2,0.0429
9,"Natural Res & Env Sciences ",59.1,40.9,72.7,0.21
9,"Natural Resrcs & Environ Sci ",50.8,49.2,96.4,0.465
9,"Neuroscience ",40,60,84,0.119
9,"New Media ",45.5,54.5,86.4,0.0525
9,"News-Editorial ",29.8,70.2,99.1,0.513
9,"Nondegree-CE ",30.7,69.3,100,0.241
9,"Nuclear Engineering ",87.2,12.8,71.8,0.279
9,"Nuclear, Plasma, Radiolgc Engr ",81.4,18.6,78.4,0.243
9,"Nutritional Sciences ",24.1,75.9,75.9,0.138
9,"Open Studies ",58.3,41.7,91.7,0.0286
9,"Painting ",29,71,93.5,0.074
9,"Philosophy ",82.9,17.1,96.9,0.308
9,"Photography ",24.2,75.8,93.9,0.0787
9,"Physics ",87.4,12.6,62.1,1.06
9,"Plant Biology ",42.5,57.5,92.5,0.0954
9,"Political Science ",61.6,38.4,95.5,2.43
9,"Portuguese ",50,50,50,0.00477
9,"Pre-Early Chld/Elem Ed/Spec Ed ",6.4,93.3,98.8,0.782
